Clients,AGO stored,PMS stored,Storage as at,Expected_picking,AGO_picked,PMS_picked,Picked date_ago
HASS ZAMBIA CMA,5007764.52,1679032.73,12/04/2023,12/04/2023,6479794.53,5542755.04,12/08/2023
MEWD ZAMBIA,7402188.72,3899255.25,12/23/2023,12/11/2023,3174814.18,8295028.34,12/15/2023
HASS UGANDA CMA,2947341.12,4085925.9,12/27/2023,12/26/2023,5772659.58,5715428.15,12/28/2023
HASS UGANDA CMA,8977968.73,3151682.22,12/07/2023,12/29/2023,1480465.77,9543369.52,12/21/2023
HASS UGANDA,5702692.01,2144252.47,12/21/2023,12/05/2023,3111380.95,443140.08,12/29/2023
NURAH ENERGY DRC,6556728.78,6352887.29,12/20/2023,12/05/2023,6896782.77,6318342.32,12/04/2023
HASS DRC CMA,470623.21,1505939.18,12/27/2023,12/28/2023,5946611.05,7491429.45,12/09/2023
HASS DRC,6326185.46,7336736.86,12/24/2023,12/05/2023,6313925.27,3409605.27,12/13/2023
HASS UGANDA CMA,7841793.83,1873200.26,12/05/2023,12/23/2023,4311486.28,1465210.11,12/16/2023
HASS ZAMBIA CMA,2317879.33,3189307.61,12/10/2023,12/09/2023,7740969.62,2768928.27,12/19/2023
HASS DRC CMA,2344556.63,2534609.74,12/23/2023,12/21/2023,9217439.84,6279165.97,12/09/2023
NURAH ENERGY DRC,7581340.43,3133933.04,12/10/2023,12/18/2023,1356068.46,7112999.31,12/17/2023
HASS RWANDA,9015755.48,7364536.03,12/01/2023,12/30/2023,3877844.79,1924406.97,12/29/2023
REGIDE-BURUNDI,2043486.17,3656088.05,12/11/2023,12/06/2023,1953639.5,3662717.28,12/05/2023
HASS RWANDA,7295003.63,2395529.98,12/13/2023,12/17/2023,3792509.51,8341275.46,12/10/2023
NOTIONAL OIL COMPANY OF MALAWI,6415112.74,8524561.45,12/10/2023,12/20/2023,7492246.11,1612863.21,12/13/2023
HASS UGANDA,9535371.17,7852448.76,12/17/2023,12/25/2023,2382965.45,1145218.8,12/26/2023
NOTIONAL OIL COMPANY OF MALAWI,749845.77,1962437.97,12/09/2023,12/16/2023,3428677.58,4563714.55,12/15/2023
ONE P,1458527.3,9640166.76,12/01/2023,12/15/2023,7199590.99,4169690.76,12/06/2023
MEWD ZAMBIA,1951041.26,5824966.23,12/26/2023,12/16/2023,2634064.53,648957.59,12/05/2023
HASS ZAMBIA CMA,7316612.78,9763746.03,12/04/2023,12/13/2023,4743308.41,6748512.38,12/16/2023
HASS TZ,898378.17,7092973.35,12/13/2023,12/01/2023,4486425.49,3849472.64,12/27/2023
HASS UGANDA CMA,1051096.33,8802783.66,12/17/2023,12/16/2023,9537530.53,1049188.23,12/15/2023
HASS UGANDA CMA,6078014.11,4790639.06,12/29/2023,12/29/2023,1594731.33,9258641.16,12/21/2023
REGIDE-BURUNDI,5328873.31,8843465.75,12/07/2023,12/25/2023,3796863.97,7823988.83,12/27/2023
ONE P,689870.93,8103256.92,12/01/2023,12/02/2023,2168076.51,6145366.46,12/26/2023
NURAH ENERGY DRC,1977186.55,1756265.77,12/17/2023,12/28/2023,3915050,2670656.8,12/29/2023
HASS DRC CMA,2766842.3,9575192.49,12/19/2023,12/19/2023,4268928.22,2292299.45,12/07/2023
HASS DRC,4128070.04,1939418.72,12/14/2023,12/28/2023,9055506.17,866860.84,12/16/2023
HASS TZ,6987411.74,6045950.64,12/20/2023,12/26/2023,2689502.46,9361886.08,12/23/2023
NURAH ENERGY DRC,6049212.93,119336.66,12/28/2023,12/05/2023,1130216.52,8396915.61,12/21/2023
HASS RWANDA CMA,3786286.77,1170305.31,12/07/2023,12/06/2023,5413620.62,9373066.4,12/18/2023
HASS DRC,3553295.86,7047991.03,12/21/2023,12/04/2023,920810.02,6733058.34,12/11/2023
HASS UGANDA CMA,5292465.16,8474537.02,12/20/2023,12/08/2023,7216493.04,3204749.74,12/16/2023
HASS DRC CMA,159600.19,2135328.17,12/27/2023,12/26/2023,1429844.39,6467728.28,12/28/2023
HASS RWANDA,3887776.9,1074449.92,12/13/2023,12/13/2023,2869926.7,1366564.84,12/02/2023
MEWD ZAMBIA,4936331.24,1385176.66,12/22/2023,12/21/2023,6041868.85,6537408.68,12/27/2023
HASS DRC CMA,6834511.66,5365322.01,12/05/2023,12/21/2023,5402760.87,1694796.9,12/20/2023
HASS UGANDA CMA,1644857.15,2482319.16,12/11/2023,12/26/2023,4209786.62,7383039.26,12/17/2023
HASS DRC CMA,770954.94,4689463.71,12/18/2023,12/13/2023,5196096.02,9709573.11,12/01/2023
HASS RWANDA CMA,4480335.88,5049245.6,12/01/2023,12/14/2023,9868968.7,4263098.39,12/26/2023
HASS UGANDA,2265900.86,252755.86,12/14/2023,12/11/2023,4402711.73,6874648.26,12/23/2023
HASS DRC CMA,785419.04,8416158.05,12/15/2023,12/08/2023,2402364.25,470278.11,12/09/2023
HASS TZ,2231466.53,2083752.38,12/06/2023,12/28/2023,3432035.12,3182558.22,12/27/2023
HASS RWANDA CMA,1916538.82,6980128.21,12/15/2023,12/21/2023,4553593.42,8647155.9,12/18/2023
HASS TZ CMA,8537991.58,4421699.8,12/28/2023,12/27/2023,8320098.45,3952612.41,12/06/2023
HASS TZ,8784276.38,6656311.19,12/11/2023,12/24/2023,8327159.21,2255282.23,12/20/2023
HASS RWANDA,3437510.79,6152458.41,12/23/2023,12/25/2023,7128146.53,124452.69,12/24/2023
HASS UGANDA CMA,7850793.45,8768442.2,12/17/2023,12/12/2023,8214051.44,2319405.74,12/22/2023
HASS UGANDA CMA,6390838.48,2106230.36,12/19/2023,12/04/2023,1534128,9518414.39,12/08/2023
HASS DRC CMA,7734965.48,6743776.04,12/08/2023,12/05/2023,7920179.04,3476757.59,12/18/2023
HASS TZ,1438029.64,5091138.14,12/14/2023,12/02/2023,4321611.61,6405284.67,12/02/2023
NOTIONAL OIL COMPANY OF MALAWI,6011720.97,5872946.43,12/02/2023,12/22/2023,7919955.9,4289842.69,12/27/2023
HASS RWANDA CMA,3517222.88,3075034.44,12/18/2023,12/05/2023,7201334.69,5061883.97,12/24/2023
HASS RWANDA CMA,35758.72,3820196.98,12/05/2023,12/16/2023,4661300.13,6955946.29,12/21/2023
NURAH ENERGY DRC,965597.29,9346381.7,12/02/2023,12/16/2023,7306275.72,3052322.05,12/05/2023
HASS TZ,4767627.02,9377324.81,12/09/2023,12/19/2023,1240610.52,2777120.63,12/16/2023
NOTIONAL OIL COMPANY OF MALAWI,2442305.87,4527781.7,12/09/2023,12/07/2023,2318723.69,7194036.78,12/21/2023
MEWD ZAMBIA,488260.17,13462.68,12/08/2023,12/20/2023,5588344.17,2999001.91,12/01/2023
HASS TZ,435872.08,301368.75,12/19/2023,12/25/2023,4499248.94,3976545.99,12/27/2023
NURAH ENERGY DRC,32777.52,6598633.43,12/12/2023,12/26/2023,2126763.72,1076577.13,12/06/2023
HASS DRC,2044267.27,9566803.25,12/16/2023,12/24/2023,2242135.94,7406671.37,12/15/2023
NOTIONAL OIL COMPANY OF MALAWI,8419226.68,2975289.58,12/24/2023,12/15/2023,2730971.11,7673799.05,12/24/2023
NOTIONAL OIL COMPANY OF MALAWI,8540616.61,7107520.41,12/18/2023,12/21/2023,5285333.07,2024803.69,12/23/2023
REGIDE-BURUNDI,8554686.46,4799671.56,12/29/2023,12/23/2023,2078122.15,9005879.03,12/27/2023
MEWD ZAMBIA,21614.74,4704160.25,12/08/2023,12/28/2023,1195508.29,7914371.98,12/26/2023
NOTIONAL OIL COMPANY OF MALAWI,4816102.65,5592866.5,12/11/2023,12/18/2023,2871195.66,2712947.14,12/29/2023
HASS UGANDA,6921888.77,6382537.81,12/03/2023,12/07/2023,254754.28,5020234.83,12/21/2023
TANK,8085405.93,5407723.72,12/03/2023,12/13/2023,4213765.95,9889753.57,12/15/2023
MEWD ZAMBIA,1656027.17,1858588.87,12/08/2023,12/26/2023,8970530.93,3581894.04,12/26/2023
NURAH ENERGY DRC,7870252.52,9654644.21,12/20/2023,12/04/2023,174482.85,5590008.86,12/16/2023
HASS UGANDA CMA,2811232.31,6895376.18,12/26/2023,12/27/2023,3612570.82,4104567.74,12/04/2023
HASS RWANDA,6628037.23,2632148.73,12/27/2023,12/15/2023,5245581.49,8549789.75,12/23/2023
NOTIONAL OIL COMPANY OF MALAWI,8967437.68,4684951.55,12/10/2023,12/03/2023,1980830.33,9535779.33,12/26/2023
HASS TZ CMA,2099914.17,7460499.14,12/19/2023,12/04/2023,207642.85,6262600.39,12/30/2023
HASS DRC,551990.73,499081.96,12/01/2023,12/26/2023,1603636.17,8139278.45,12/27/2023
HASS UGANDA CMA,7456130.33,1867880.13,12/20/2023,12/22/2023,4136021.24,8592929.83,12/05/2023
NOTIONAL OIL COMPANY OF MALAWI,4495368.73,1408340.18,12/28/2023,12/20/2023,3875626.72,6021085.21,12/21/2023
ONE P,4979511.03,9822923.99,12/04/2023,12/02/2023,1447196.59,4981760.39,12/02/2023
HASS UGANDA,5062233.51,185555.47,12/07/2023,12/22/2023,636727.78,3227458.81,12/21/2023
REGIDE-BURUNDI,4301584.53,1612704.83,12/01/2023,12/08/2023,7848920.65,767682.14,12/30/2023
HASS DRC CMA,599317.05,34639.69,12/03/2023,12/08/2023,6078496.5,126239.68,12/01/2023
HASS RWANDA CMA,8321174.84,5746633.28,12/03/2023,12/18/2023,9526844.96,2181230.97,12/06/2023
HASS UGANDA CMA,1379432.54,8265987.8,12/02/2023,12/21/2023,4120898.68,9699489.15,12/12/2023
HASS ZAMBIA CMA,8267176.57,8798986.26,12/26/2023,12/18/2023,5167590.2,8221001.9,12/09/2023
TANK,3424434.99,166865.34,12/12/2023,12/29/2023,9575993.48,5475220.17,12/08/2023
MEWD ZAMBIA,3429266.77,7719529.9,12/13/2023,12/04/2023,912585.98,7346676.18,12/02/2023
NOTIONAL OIL COMPANY OF MALAWI,6664467.02,2790563.49,12/26/2023,12/21/2023,682383.32,7770676.21,12/09/2023
HASS TZ,8039176.32,2732270.23,12/25/2023,12/16/2023,2816365.77,4637675.32,12/09/2023
NOTIONAL OIL COMPANY OF MALAWI,6749904.9,6406156.07,12/28/2023,12/27/2023,389632.78,9430432.45,12/30/2023
HASS DRC,5960958.08,1871474.91,12/15/2023,12/25/2023,2476371.02,122145.09,12/28/2023
HASS ZAMBIA CMA,9226729.75,6696324.7,12/05/2023,12/17/2023,1581087.27,3172273.09,12/23/2023
HASS DRC,2806902.92,9012895.46,12/16/2023,12/26/2023,918815.67,903885.13,12/01/2023
HASS ZAMBIA CMA,9372184.08,7054091.51,12/21/2023,12/15/2023,4570473.44,4132297.87,12/07/2023
HASS TZ,339784.74,3838815.24,12/09/2023,12/13/2023,7105275.83,2035729.47,12/26/2023
NURAH ENERGY DRC,4861224.99,8738550.42,12/09/2023,12/13/2023,2283581.24,7350839.69,12/14/2023
MEWD ZAMBIA,2454018.8,6854703.66,12/14/2023,12/02/2023,3980960.55,7257407.13,12/09/2023
HASS TZ,3320077.07,5134265.57,12/25/2023,12/26/2023,2972311.24,3385454.95,12/06/2023
HASS ZAMBIA CMA,9686816.21,1966632.09,12/06/2023,12/25/2023,9443835.97,9115589.14,12/24/2023
HASS RWANDA CMA,7311732.01,5458468.69,12/02/2023,12/26/2023,7048372.01,406372.53,12/25/2023
HASS DRC CMA,6032368.29,5728885.39,12/22/2023,12/08/2023,6789620.84,2203647.01,12/01/2023
NURAH ENERGY DRC,4095303.33,68366.11,12/22/2023,12/07/2023,499871.3,1553492.17,12/18/2023
HASS UGANDA,325376.22,2591251.69,12/21/2023,12/30/2023,4273043.87,9572504.94,12/12/2023
HASS TZ,9408414.08,3494804.89,12/16/2023,12/19/2023,3569437.19,6171699.64,12/21/2023
ONE P,682132.15,9655837.85,12/12/2023,12/20/2023,9814170.55,5586682.17,12/01/2023
HASS UGANDA CMA,7529548.87,8559064.71,12/07/2023,12/18/2023,2278769.63,7972537.51,12/25/2023
NOTIONAL OIL COMPANY OF MALAWI,5232601.75,2889604.03,12/22/2023,12/29/2023,2704665.06,1935224.6,12/21/2023
MEWD ZAMBIA,2243756.19,2231935.71,12/18/2023,12/26/2023,6833679.39,789880.56,12/11/2023
HASS RWANDA,4680598.83,4168819.83,12/01/2023,12/08/2023,7555064.58,2899004.36,12/02/2023
ONE P,6325291.18,2376948.47,12/07/2023,12/08/2023,4184172.7,2332800.14,12/10/2023
HASS RWANDA CMA,2717096.77,4525778.32,12/23/2023,12/21/2023,608676.32,6957948.91,12/07/2023
HASS UGANDA,6602729.76,7316616.74,12/21/2023,12/07/2023,2185220.56,6895224.42,12/04/2023
TANK,7055413.63,8396618.46,12/23/2023,12/28/2023,9798855.45,4227342.39,12/01/2023
HASS RWANDA,4123820.72,4135463.71,12/28/2023,12/19/2023,9633545.72,3545956.63,12/14/2023
HASS UGANDA,2004215.69,8102471.62,12/22/2023,12/20/2023,4707397.18,9688203.8,12/30/2023
HASS RWANDA,2209006.49,3749183.08,12/30/2023,12/26/2023,9804900.27,8817359.38,12/25/2023
HASS UGANDA,3688015.67,8055745.62,12/25/2023,12/01/2023,6526923.2,2600067.35,12/25/2023
HASS UGANDA,1028831.58,1418560.04,12/28/2023,12/16/2023,8052079.92,6709328.27,12/07/2023
HASS DRC,9176863.1,3576221.55,12/29/2023,12/25/2023,7568852.97,6286873.98,12/13/2023
HASS DRC CMA,9276405.38,4480887.01,12/06/2023,12/24/2023,1070447.32,670856.76,12/19/2023
HASS RWANDA,1199741.68,1523880.14,12/09/2023,12/12/2023,7550491.2,708998.37,12/14/2023
HASS TZ,9789173.2,2613918.42,12/27/2023,12/29/2023,9748974.32,6071067.1,12/25/2023
HASS TZ CMA,8508914.33,8008406.53,12/08/2023,12/17/2023,3143155.39,265291.11,12/02/2023
TANK,5654491.71,2425785.76,12/23/2023,12/12/2023,1587143.31,3135113.76,12/15/2023
MEWD ZAMBIA,5402640.61,441786.8,12/12/2023,12/18/2023,7295952.53,1583271.99,12/17/2023
NURAH ENERGY DRC,1060269.03,9724611.64,12/10/2023,12/23/2023,4456351.38,6563892.24,12/08/2023
NURAH ENERGY DRC,2286625.76,8374406.42,12/17/2023,12/05/2023,6890355.16,4286114.99,12/04/2023
HASS RWANDA,264732.25,3736776.3,12/09/2023,12/01/2023,3075549.2,1072849.04,12/07/2023
HASS ZAMBIA CMA,7151659.7,5026282.64,12/20/2023,12/03/2023,1195461.17,855625.22,12/07/2023
HASS DRC CMA,3681568.92,559136.73,12/22/2023,12/10/2023,7361788.32,9292890.81,12/16/2023
HASS TZ,353056.1,5514280.27,12/12/2023,12/24/2023,783656.5,2238685.39,12/02/2023
MEWD ZAMBIA,6385756.45,8352639.33,12/04/2023,12/18/2023,7523954.66,1586913.41,12/10/2023
NURAH ENERGY DRC,1101038.63,7987566.86,12/16/2023,12/22/2023,3748682.24,1556077.11,12/07/2023
HASS RWANDA,4378455.35,6770083.5,12/23/2023,12/27/2023,156440.95,4710671.82,12/18/2023
REGIDE-BURUNDI,8113414.43,5867048.83,12/15/2023,12/17/2023,8322164.56,1665993.1,12/27/2023
HASS TZ CMA,884536.08,174817.66,12/23/2023,12/20/2023,5586021.08,2565068.37,12/11/2023
MEWD ZAMBIA,3561600.38,6441326.86,12/17/2023,12/13/2023,7558864.79,9835062.87,12/05/2023
ONE P,2622190.96,4216823.34,12/03/2023,12/05/2023,4855220.78,1946213.2,12/12/2023
HASS UGANDA,9481121.79,6556158.25,12/08/2023,12/03/2023,488229.06,3639946.76,12/06/2023
NURAH ENERGY DRC,9728052.55,4755469.12,12/13/2023,12/06/2023,8409554.2,1785903.17,12/19/2023
HASS ZAMBIA CMA,5479448.54,9996296.86,12/27/2023,12/06/2023,4822554.6,8698744.15,12/16/2023
ONE P,3152265.61,7182652.23,12/08/2023,12/09/2023,8752751.56,6382904.37,12/19/2023
NOTIONAL OIL COMPANY OF MALAWI,5997820,6418219.61,12/28/2023,12/15/2023,6672973.11,773794.13,12/06/2023
HASS UGANDA,2238836.96,3395269.56,12/27/2023,12/29/2023,2743748.08,6263297.15,12/11/2023
MEWD ZAMBIA,9846755.97,5040664.88,12/08/2023,12/03/2023,1814335.91,6964.93,12/19/2023
NURAH ENERGY DRC,8420249.68,4847168.33,12/22/2023,12/27/2023,3047679.31,8547852.28,12/14/2023
HASS DRC CMA,1565944.17,7674982.66,12/12/2023,12/12/2023,6585309.58,5920515.32,12/06/2023
HASS TZ CMA,7199684,1100400.1,12/05/2023,12/21/2023,6014997.89,9900809.03,12/10/2023
NOTIONAL OIL COMPANY OF MALAWI,5464227.2,4070666.88,12/29/2023,12/28/2023,6468062.54,9710714.24,12/09/2023
HASS RWANDA CMA,3336516.84,1488440.96,12/04/2023,12/03/2023,5809787.17,924783.89,12/28/2023
NOTIONAL OIL COMPANY OF MALAWI,1045985.83,8030687.92,12/27/2023,12/23/2023,431086.16,2713680.01,12/15/2023
HASS DRC,3127619.55,8933629.6,12/29/2023,12/01/2023,2550530.55,8820828.87,12/10/2023
TANK,9774846.93,7750392.97,12/18/2023,12/02/2023,9403232.13,5546966.32,12/06/2023
TANK,4673747.31,6379087.53,12/24/2023,12/02/2023,5423192.09,6022828.31,12/23/2023
HASS UGANDA CMA,9354737.05,3742895.68,12/22/2023,12/19/2023,1202804.43,9044718.86,12/11/2023
TANK,6452601.09,7610454.94,12/23/2023,12/21/2023,7715348.46,3125530.27,12/27/2023
HASS RWANDA,8848773.07,4269319.58,12/05/2023,12/15/2023,5707055.1,2084496.94,12/04/2023
MEWD ZAMBIA,2900907,2170321.45,12/02/2023,12/18/2023,9559134.46,9443091.32,12/18/2023
HASS RWANDA CMA,5927166.95,7749538.22,12/25/2023,12/19/2023,9976994.03,4144855.21,12/07/2023
ONE P,1113427.66,9319856.54,12/18/2023,12/17/2023,5896756.13,9878699.05,12/09/2023
MEWD ZAMBIA,8347830.7,8791009.53,12/15/2023,12/08/2023,6614691.31,7992005.19,12/24/2023
HASS UGANDA CMA,926923.62,7374637.58,12/22/2023,12/12/2023,2027320.83,3510585.37,12/07/2023
HASS DRC,2789010.47,8252185.62,12/28/2023,12/05/2023,2241236.15,7054030.48,12/13/2023
NURAH ENERGY DRC,2301776.97,9359927.79,12/21/2023,12/13/2023,7138367.26,4593714.13,12/19/2023
ONE P,4704110.29,3746631.67,12/10/2023,12/12/2023,2858087.06,8932265.97,12/23/2023
HASS ZAMBIA CMA,3675566.89,1596552.57,12/16/2023,12/23/2023,6530153.53,8245478.43,12/07/2023
REGIDE-BURUNDI,7573423.88,1916685.05,12/28/2023,12/06/2023,7305472.3,4896044.4,12/15/2023
HASS UGANDA,5862541.45,9932783.64,12/11/2023,12/26/2023,9249333.28,564659.64,12/01/2023
HASS UGANDA,814060.89,324447.81,12/11/2023,12/05/2023,5123455.79,5260376.72,12/21/2023
HASS DRC CMA,7202945.47,3984734.58,12/07/2023,12/27/2023,767907.05,3637666.11,12/16/2023
HASS DRC CMA,5682312.96,814877.02,12/15/2023,12/20/2023,6218899.42,3106466.91,12/11/2023
REGIDE-BURUNDI,4994465.07,9841226.3,12/12/2023,12/07/2023,3182322.65,8689558.98,12/13/2023
HASS DRC CMA,2220031.65,5789734.21,12/25/2023,12/22/2023,6277714.29,4623907.02,12/08/2023
HASS ZAMBIA CMA,1390766.62,3464388.75,12/30/2023,12/30/2023,8399829.74,8268182.96,12/25/2023
HASS TZ,6607976.43,9442.95,12/27/2023,12/11/2023,3263782.32,4360339.11,12/23/2023
TANK,5350984.71,2271602.98,12/14/2023,12/23/2023,8358236.28,9073577.36,12/25/2023
HASS ZAMBIA CMA,6576593.96,7676642.49,12/28/2023,12/24/2023,1992204.04,6418152.74,12/01/2023
HASS DRC,4015565.76,2742094.92,12/23/2023,12/09/2023,6978425.42,9973800.5,12/30/2023
NOTIONAL OIL COMPANY OF MALAWI,7563734.69,8928096.7,12/27/2023,12/12/2023,7604048.02,9650910.63,12/23/2023
ONE P,5292440.43,6696911.98,12/18/2023,12/17/2023,1500715.01,4248110.12,12/30/2023
HASS TZ CMA,7360485.62,4690601.34,12/22/2023,12/05/2023,7015247.47,627290.67,12/26/2023
NURAH ENERGY DRC,2420837.73,5127928.37,12/10/2023,12/30/2023,2806083.59,6377277.49,12/12/2023
NOTIONAL OIL COMPANY OF MALAWI,8511642.67,3570270,12/24/2023,12/20/2023,7865075.69,4645814.6,12/15/2023
ONE P,9493068.33,8830262.79,12/24/2023,12/29/2023,836925.68,4587862.31,12/14/2023
TANK,2604493.71,1672474.13,12/07/2023,12/04/2023,9166934.97,6880884.47,12/11/2023
HASS TZ,9665562.57,6675438.2,12/25/2023,12/25/2023,2668184.83,8076219.79,12/25/2023
NOTIONAL OIL COMPANY OF MALAWI,1049565.29,2224192.16,12/06/2023,12/14/2023,291182.12,1494610.09,12/15/2023
HASS UGANDA,462035.79,4406781.31,12/03/2023,12/05/2023,674802.88,4595987.46,12/19/2023
HASS UGANDA,5524348.27,8067642,12/14/2023,12/20/2023,2981300.51,8321264.63,12/18/2023
HASS UGANDA CMA,1127439.04,7160489.16,12/13/2023,12/06/2023,3850361.18,7749795.04,12/15/2023
HASS ZAMBIA CMA,3935703.83,7222835.88,12/01/2023,12/27/2023,3964451.6,7469104.46,12/28/2023
HASS RWANDA,9077940.24,9103307.19,12/12/2023,12/01/2023,8043491.32,6225788.44,12/24/2023
MEWD ZAMBIA,1864563.35,5246997.32,12/28/2023,12/18/2023,7181558.4,6404106.58,12/07/2023
HASS ZAMBIA CMA,5991869.98,9662741.19,12/02/2023,12/03/2023,4327477.7,566750.92,12/02/2023
MEWD ZAMBIA,2155081.14,1615551.12,12/01/2023,12/02/2023,3421002.04,686410,12/17/2023
HASS DRC CMA,3136315.36,7580601.11,12/18/2023,12/07/2023,9383274.64,1290645.25,12/25/2023
NOTIONAL OIL COMPANY OF MALAWI,7301815.48,6054664.19,12/22/2023,12/19/2023,130579.71,2176276.6,12/25/2023
HASS DRC,634337.95,7240808.69,12/20/2023,12/14/2023,8806632.82,6783597.44,12/21/2023
HASS TZ CMA,2458652.62,941511.48,12/20/2023,12/15/2023,3078253.29,3667503.07,12/08/2023
HASS UGANDA,1822542.06,5316492.23,12/09/2023,12/05/2023,4165651.71,410007.31,12/16/2023
HASS UGANDA CMA,1560509.69,5609238.51,12/09/2023,12/04/2023,8662015.55,59670.26,12/07/2023
HASS ZAMBIA CMA,2011258.58,9428094.94,12/20/2023,12/13/2023,3123842.7,2126501.95,12/04/2023
HASS RWANDA CMA,8529055.78,4932703.55,12/10/2023,12/12/2023,5391703.49,5498166.57,12/02/2023
TANK,6259975.48,5657312.53,12/11/2023,12/18/2023,9904536.88,5115163.36,12/17/2023
NURAH ENERGY DRC,525822.9,5202411.56,12/04/2023,12/30/2023,1121969.72,6389177.96,12/22/2023
HASS DRC,1552339.58,3937818.01,12/17/2023,12/17/2023,3558761.03,4301812.41,12/02/2023
HASS UGANDA,4858685.02,9778853.37,12/08/2023,12/06/2023,8131736.45,2620423.16,12/07/2023
HASS ZAMBIA CMA,8788866.63,8578241.13,12/20/2023,12/06/2023,1013260.54,1997435.47,12/05/2023
REGIDE-BURUNDI,5902047.75,571797.83,12/27/2023,12/26/2023,8265850.18,6168968.15,12/18/2023
HASS ZAMBIA CMA,2804921.17,9247739.27,12/20/2023,12/13/2023,4256044.48,646962.52,12/17/2023
HASS DRC,3379267.64,3866966.97,12/20/2023,12/07/2023,2684112.51,2681051.08,12/19/2023
HASS DRC CMA,8805226.97,9675761,12/21/2023,12/06/2023,3381062.06,1515006.91,12/07/2023
REGIDE-BURUNDI,7360537.52,1199696.04,12/22/2023,12/15/2023,924741.79,239379.6,12/08/2023
HASS DRC CMA,7347744.7,5462110.3,12/20/2023,12/24/2023,2552661.33,6424120.28,12/03/2023
HASS TZ,6421477.82,9278540.8,12/09/2023,12/21/2023,4637982.24,3342236.82,12/30/2023
NOTIONAL OIL COMPANY OF MALAWI,4648870.38,2374713.23,12/02/2023,12/25/2023,4176475.69,6456225.19,12/21/2023
HASS ZAMBIA CMA,1045367.75,8089164.85,12/11/2023,12/23/2023,855469.64,9904046.64,12/29/2023
HASS RWANDA,1000313.05,7873193.18,12/26/2023,12/29/2023,949462.7,5278787.56,12/14/2023
HASS DRC,5800150.58,9593018.38,12/21/2023,12/14/2023,9434941.66,9797298.36,12/13/2023
HASS DRC,3050012.22,7880439.09,12/23/2023,12/14/2023,6631276.98,9873543.34,12/17/2023
HASS DRC CMA,9023197.41,9552569.4,12/03/2023,12/10/2023,1187156,2362430.54,12/10/2023
HASS UGANDA CMA,358236.91,2087042.03,12/05/2023,12/05/2023,3014796.06,8843183.44,12/16/2023
HASS ZAMBIA CMA,9757516.23,5319312.51,12/16/2023,12/30/2023,3820567.71,8058463.59,12/29/2023
HASS ZAMBIA CMA,8352441.02,8279212.27,12/06/2023,12/14/2023,2279283.62,3696468.96,12/19/2023
REGIDE-BURUNDI,8323563.53,4998888.06,12/28/2023,12/04/2023,2527755.85,2268497.31,12/22/2023
TANK,5736049.06,9421459.73,12/20/2023,12/28/2023,4589118.79,8326674.27,12/30/2023
NOTIONAL OIL COMPANY OF MALAWI,1333798.04,5080531.54,12/09/2023,12/24/2023,4750531.78,3413578.75,12/19/2023
HASS UGANDA CMA,6202958.94,3937927.43,12/21/2023,12/07/2023,2026451.57,150674.04,12/30/2023
HASS ZAMBIA CMA,7384106.24,2951793.69,12/27/2023,12/20/2023,3432500.6,3785921.99,12/11/2023
HASS TZ,8570296.1,5726993.37,12/17/2023,12/18/2023,2568988.28,8414112.26,12/03/2023
HASS TZ,232127.31,3500624.25,12/01/2023,12/05/2023,7242551.51,8486768.57,12/23/2023
HASS DRC,2027831.52,5777982.2,12/26/2023,12/08/2023,3530879.2,4018962.23,12/03/2023
TANK,2838749.52,7258412.75,12/03/2023,12/13/2023,1465824.02,9885508.59,12/25/2023
HASS DRC CMA,1395792.93,7271805.76,12/23/2023,12/20/2023,6610954.59,4181540.08,12/25/2023
TANK,7917626.78,213750.62,12/25/2023,12/04/2023,5077568.54,7808353.09,12/17/2023
HASS TZ,902385.55,6584215.85,12/22/2023,12/01/2023,4876278.1,659951.21,12/25/2023
NOTIONAL OIL COMPANY OF MALAWI,2957800.32,5577395.16,12/11/2023,12/15/2023,5350627.95,694322.72,12/30/2023
NOTIONAL OIL COMPANY OF MALAWI,9957387.59,6700417.9,12/07/2023,12/29/2023,2292767.7,7049627.05,12/30/2023
HASS TZ CMA,8054985.44,8937556.91,12/06/2023,12/23/2023,4821247.3,5161282.88,12/13/2023
ONE P,7770351.34,6971894.9,12/07/2023,12/17/2023,7413577.41,955390.76,12/22/2023
HASS UGANDA,2828837.1,4488921.78,12/15/2023,12/05/2023,9866931.04,4510328.09,12/07/2023
HASS RWANDA CMA,6432693.94,8760148.72,12/20/2023,12/28/2023,4476704.25,4773799.58,12/04/2023
HASS TZ CMA,2913874,3385072.74,12/09/2023,12/15/2023,1839065.77,2839441.24,12/12/2023
REGIDE-BURUNDI,4411301.25,383528.87,12/22/2023,12/28/2023,6271592.58,7549737.46,12/16/2023
TANK,8760959.46,7829204.7,12/25/2023,12/15/2023,9451083.13,5450202.64,12/25/2023
MEWD ZAMBIA,6104160.04,8522975.14,12/14/2023,12/17/2023,6601538.55,5727949.64,12/02/2023
TANK,9649843.6,8446926.38,12/08/2023,12/01/2023,3912233.17,6864956.43,12/05/2023
NOTIONAL OIL COMPANY OF MALAWI,950881.53,1271789.61,12/22/2023,12/15/2023,8351150.44,2467146.39,12/24/2023
TANK,6428710.4,7606534.61,12/27/2023,12/17/2023,142495.13,9917911.77,12/16/2023
MEWD ZAMBIA,3541540.91,3664268.04,12/12/2023,12/24/2023,6965792.82,9339785.74,12/16/2023
